stress_date,t1_date,t1_max_concurrent,t1_vol_state,t1_jpy_share,t1_amr_share,t1_long_share,t60min_exposure,t30min_exposure,t15min_exposure
2024-10-02,2024-10-01,5,HIGH,100.0,80.0,20.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-10-28,2024-10-25,4,NORMAL,100.0,100.0,33.3,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-10-29,2024-10-28,5,HIGH,80.0,80.0,20.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-11-11,2024-11-08,2,HIGH,100.0,100.0,0.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-11-20,2024-11-19,4,NORMAL,100.0,100.0,100.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2024-11-26,2024-11-25,5,HIGH,80.0,80.0,60.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2025-01-06,2025-01-02,6,HIGH,100.0,80.0,40.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2025-01-09,2025-01-08,4,HIGH,100.0,100.0,0.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2025-01-24,2025-01-23,4,NORMAL,100.0,75.0,100.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2025-01-27,2025-01-24,4,NORMAL,100.0,100.0,0.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2025-02-20,2025-02-19,4,NORMAL,100.0,100.0,66.7,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2025-03-20,2025-03-19,3,HIGH,100.0,100.0,0.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2025-05-12,2025-05-09,4,HIGH,100.0,100.0,100.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2025-05-16,2025-05-15,5,HIGH,100.0,80.0,80.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2025-08-14,2025-08-13,3,LOW,100.0,100.0,33.3,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2025-08-15,2025-08-14,5,LOW,100.0,80.0,80.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2025-12-23,2025-12-22,4,HIGH,75.0,75.0,100.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2026-02-04,2026-02-03,5,NORMAL,100.0,100.0,0.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2026-03-11,2026-03-10,3,HIGH,100.0,100.0,66.7,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
2026-04-08,2026-04-07,4,LOW,100.0,100.0,75.0,UNKNOWN BY DATA LIMITATION -- no continuous intraday position-snapshot series exists at this granularity,UNKNOWN BY DATA LIMITATION,UNKNOWN BY DATA LIMITATION
