trade_id,strategy,entry_time,london_exit_classification,expected_exit_utc,expected_exit_method
583033057,CADJPY_AMR,2026-07-30T23:45:06+00:00,LONDON_EXIT_EXPECTED,2026-07-31T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
583622176,AUDJPY_AMR,2026-08-02T21:15:06+00:00,LONDON_EXIT_EXPECTED,2026-08-03T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
583622177,CADJPY_AMR,2026-08-02T21:15:06+00:00,LONDON_EXIT_EXPECTED,2026-08-03T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
583676662,GBPJPY_AMR,2026-08-03T00:45:05+00:00,LONDON_EXIT_EXPECTED,2026-08-03T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
583622176,AUDJPY_AMR,2026-08-02T21:15:06+00:00,LONDON_EXIT_EXPECTED,2026-08-03T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
583622177,CADJPY_AMR,2026-08-02T21:15:06+00:00,LONDON_EXIT_EXPECTED,2026-08-03T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
583676662,GBPJPY_AMR,2026-08-03T00:45:05+00:00,LONDON_EXIT_EXPECTED,2026-08-03T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
584202064,AUDJPY_AMR,2026-08-03T22:15:05+00:00,LONDON_EXIT_EXPECTED,2026-08-04T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
584202065,CADJPY_AMR,2026-08-03T22:15:05+00:00,LONDON_EXIT_EXPECTED,2026-08-04T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
584202064,AUDJPY_AMR,2026-08-03T22:15:05+00:00,LONDON_EXIT_EXPECTED,2026-08-04T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
584202065,CADJPY_AMR,2026-08-03T22:15:05+00:00,LONDON_EXIT_EXPECTED,2026-08-04T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
585486268,AUDJPY_AMR,2026-08-05T22:00:05+00:00,LONDON_EXIT_EXPECTED,2026-08-06T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
585486268,AUDJPY_AMR,2026-08-05T22:00:05+00:00,LONDON_EXIT_EXPECTED,2026-08-06T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
586121074,EURJPY_AMR,2026-08-06T22:15:05+00:00,LONDON_EXIT_EXPECTED,2026-08-07T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
586121074,EURJPY_AMR,2026-08-06T22:15:05+00:00,LONDON_EXIT_EXPECTED,2026-08-07T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
586714281,AUDJPY_AMR,2026-08-09T22:15:05+00:00,LONDON_EXIT_EXPECTED,2026-08-10T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
586714282,CADJPY_AMR,2026-08-09T22:15:05+00:00,LONDON_EXIT_EXPECTED,2026-08-10T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
586714281,AUDJPY_AMR,2026-08-09T22:15:05+00:00,LONDON_EXIT_EXPECTED,2026-08-10T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
586714282,CADJPY_AMR,2026-08-09T22:15:05+00:00,LONDON_EXIT_EXPECTED,2026-08-10T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
587348562,AUDJPY_AMR,2026-08-11T00:00:05+00:00,LONDON_EXIT_EXPECTED,2026-08-11T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
587348576,EURJPY_AMR,2026-08-11T00:00:05+00:00,LONDON_EXIT_EXPECTED,2026-08-11T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
587366610,GBPJPY_AMR,2026-08-11T00:45:05+00:00,LONDON_EXIT_EXPECTED,2026-08-11T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
587348562,AUDJPY_AMR,2026-08-11T00:00:05+00:00,LONDON_EXIT_EXPECTED,2026-08-11T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
587348576,EURJPY_AMR,2026-08-11T00:00:05+00:00,LONDON_EXIT_EXPECTED,2026-08-11T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
587366610,GBPJPY_AMR,2026-08-11T00:45:05+00:00,LONDON_EXIT_EXPECTED,2026-08-11T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
587497789,CADJPY_ARB,2026-08-11T06:00:06+00:00,LONDON_EXIT_NOT_EXPECTED,NOT_AVAILABLE,ARB: no scheduled exit by design
588015355,EURJPY_AMR,2026-08-12T02:45:06+00:00,LONDON_EXIT_EXPECTED,2026-08-12T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
588015355,EURJPY_AMR,2026-08-12T02:45:06+00:00,LONDON_EXIT_EXPECTED,2026-08-12T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
587497789,CADJPY_ARB,2026-08-11T06:00:06+00:00,LONDON_EXIT_NOT_EXPECTED,NOT_AVAILABLE,ARB: no scheduled exit by design
588589244,CADJPY_AMR,2026-08-12T23:30:05+00:00,LONDON_EXIT_EXPECTED,2026-08-13T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
588619758,EURJPY_AMR,2026-08-13T00:45:05+00:00,LONDON_EXIT_EXPECTED,2026-08-13T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
588619758,EURJPY_AMR,2026-08-13T00:45:05+00:00,LONDON_EXIT_EXPECTED,2026-08-13T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
588589244,CADJPY_AMR,2026-08-12T23:30:05+00:00,LONDON_EXIT_EXPECTED,2026-08-13T07:00:00+00:00,"AMR: entry-day 07:00 UTC (amended, empirically observed)"
588709831,CADJPY_ARB,2026-08-13T05:00:05+00:00,LONDON_EXIT_NOT_EXPECTED,NOT_AVAILABLE,ARB: no scheduled exit by design
588709831,CADJPY_ARB,2026-08-13T05:00:05+00:00,LONDON_EXIT_NOT_EXPECTED,NOT_AVAILABLE,ARB: no scheduled exit by design
